opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,engage_month,close_month,close_value,manager,regional_office,sector,year_established,revenue,employees,office_location,employee_size,time_to_close,time_to_close_bin
1C1I7A6R,Moses Frase,GTX Plus Basic,Cancity,Won,2016-10-20,2017-03-01,2016-10-01,2017-03-01,1054,Dustin Brinkmann,Central,retail,2001,718620000,2448,United States,1001 - 2500,132,90+ days
Z063OYW0,Darcel Schlecht,GTXPro,Isdom,Won,2016-10-25,2017-03-11,2016-10-01,2017-03-01,4514,Melvin Marxen,Central,medical,2002,3178240000,4540,United States,2051 - 5000,137,90+ days
EC4QE1BX,Darcel Schlecht,MG Special,Cancity,Won,2016-10-25,2017-03-07,2016-10-01,2017-03-01,50,Melvin Marxen,Central,retail,2001,718620000,2448,United States,1001 - 2500,133,90+ days
MV1LWRNH,Moses Frase,GTX Basic,Codehow,Won,2016-10-25,2017-03-09,2016-10-01,2017-03-01,588,Dustin Brinkmann,Central,software,1998,2714900000,2641,United States,2051 - 5000,135,90+ days
PE84CX4O,Zane Levy,GTX Basic,Hatfan,Won,2016-10-25,2017-03-02,2016-10-01,2017-03-01,517,Summer Sewald,West,services,1982,792460000,1299,United States,1001 - 2500,128,90+ days
ZNBS69V1,Anna Snelling,MG Special,Ron-tech,Won,2016-10-29,2017-03-01,2016-10-01,2017-03-01,49,Dustin Brinkmann,Central,medical,1992,3922420000,6837,United States,5001 - 7500,123,90+ days
9ME3374G,Vicki Laflamme,MG Special,J-Texon,Won,2016-10-30,2017-03-02,2016-10-01,2017-03-01,57,Celia Rouche,West,retail,1989,1388670000,3583,United States,2051 - 5000,123,90+ days
7GN8Q4LL,Markita Hansen,GTX Basic,Cheers,Won,2016-11-01,2017-03-07,2016-11-01,2017-03-01,601,Celia Rouche,West,entertainment,1993,4269899999.9999995,6472,United States,5001 - 7500,126,90+ days
OLK9LKZB,Niesha Huffines,GTX Plus Basic,Zumgoity,Won,2016-11-01,2017-03-03,2016-11-01,2017-03-01,1026,Melvin Marxen,Central,medical,1984,441080000,1210,United States,1001 - 2500,122,90+ days
HAXMC4IX,James Ascencio,MG Advanced,NA,Engaging,2016-11-03,NA,2016-11-01,NA,NA,Summer Sewald,West,NA,NA,NA,NA,NA,NA,NA,NA
NL3JZH1Z,Anna Snelling,MG Special,Bioholding,Won,2016-11-04,2017-03-10,2016-11-01,2017-03-01,53,Dustin Brinkmann,Central,medical,2012,587340000,1356,Philipines,1001 - 2500,126,90+ days
KWVA7VR1,Gladys Colclough,GTXPro,Genco Pura Olive Oil Company,Lost,2016-11-04,2017-03-18,2016-11-01,2017-03-01,0,Melvin Marxen,Central,retail,2007,894330000,1635,Italy,1001 - 2500,134,90+ days
S8DX3XOU,James Ascencio,GTX Plus Pro,Sunnamplex,Won,2016-11-04,2017-03-10,2016-11-01,2017-03-01,5169,Summer Sewald,West,marketing,2008,894370000,1593,Poland,1001 - 2500,126,90+ days
ENB2XD8G,Maureen Marcano,GTX Plus Pro,Sonron,Won,2016-11-04,2017-03-06,2016-11-01,2017-03-01,4631,Summer Sewald,West,telecommunications,1999,1699850000,5108,United States,5001 - 7500,122,90+ days
09YE9QOV,Hayden Neloms,MG Advanced,Finjob,Won,2016-11-05,2017-03-11,2016-11-01,2017-03-01,3393,Celia Rouche,West,employment,1988,2059900000,3644,United States,2051 - 5000,126,90+ days
3F5MZNEH,Rosalina Dieter,MG Special,Sonron,Lost,2016-11-05,2017-03-03,2016-11-01,2017-03-01,0,Celia Rouche,West,telecommunications,1999,1699850000,5108,United States,5001 - 7500,118,90+ days
M6WEJXC0,Rosalina Dieter,MG Advanced,Scotfind,Won,2016-11-05,2017-03-06,2016-11-01,2017-03-01,3284,Celia Rouche,West,software,1996,6354870000,16780,United States,10000 +,121,90+ days
6PTR7VBR,Versie Hillebrand,MG Special,Treequote,Won,2016-11-06,2017-03-05,2016-11-01,2017-03-01,61,Dustin Brinkmann,Central,telecommunications,1988,5266090000,8595,United States,7501 - 10000,119,90+ days
902REDPA,Daniell Hammack,GTXPro,Xx-zobam,Lost,2016-11-07,2017-03-09,2016-11-01,2017-03-01,0,Rocco Neubert,East,entertainment,1989,3838390000,8274,United States,7501 - 10000,122,90+ days
5J9CMGDV,Elease Gluck,MG Special,Rantouch,Won,2016-11-07,2017-03-08,2016-11-01,2017-03-01,46,Celia Rouche,West,telecommunications,1994,1188420000,3015,United States,2051 - 5000,121,90+ days
JJXRR8R6,James Ascencio,GTX Plus Pro,Fasehatice,Lost,2016-11-07,2017-03-17,2016-11-01,2017-03-01,0,Summer Sewald,West,retail,1990,4968910000,7523,United States,7501 - 10000,130,90+ days
