order_number,line_item,order_month,order_date,delivery_date,customer_key,store_key,product_key,quantity,gender,name,city,state_code,state,zip_code,birthday,product_name,brand,color,unit_cost_usd,unit_price_usd,sales_usd,subcategory_key,subcategory,category_key,category,first_purchase_date,age_in_days,unique_purchase_count,repeat_customer
366001,1,2016-01-01,2016-01-01,2016-01-13,1269051,0,1048,2,Male,Frank Upchurch,Auberry,CA,California,93602,1995-11-20,A. Datum SLR Camera X136 Silver,A. Datum,Silver,141.47,427,854,0402,Digital SLR Cameras,04,Cameras and camcorders,2016-01-01,1877,2,1
366001,2,2016-01-01,2016-01-01,2016-01-13,1269051,0,2007,1,Male,Frank Upchurch,Auberry,CA,California,93602,1995-11-20,Fabrikam Microwave 1.5CuFt X1100 Black,Fabrikam,Black,220.64,665.9399999999999,665.9399999999999,0803,Microwaves,08,Home Appliances,2016-01-01,1877,2,1
369011,1,2016-01-01,2016-01-04,2016-01-09,1664824,0,1261,2,Female,Barbara Hawkins,West Allis,WI,Wisconsin,53227,1954-06-24,Contoso Multi-Use Terminal Cable E308 White,Contoso,White,18.86,36.99,73.98,0406,Cameras & Camcorders Accessories,04,Cameras and camcorders,2016-01-04,1874,12,1
369012,1,2016-01-01,2016-01-04,2016-01-13,1696695,0,1423,3,Male,Virgil Rowland,Akron,OH,Ohio,44311,2001-10-07,The Phone Company Touch Screen Phones - CRT M11 Black,The Phone Company,Black,86.91000000000001,189,567,0503,Touch Screen Phones,05,Cell phones,2016-01-04,1874,4,1
369012,2,2016-01-01,2016-01-04,2016-01-13,1696695,0,1656,1,Male,Virgil Rowland,Akron,OH,Ohio,44311,2001-10-07,Contoso DVD 9-Inch Player Portable M300 White,Contoso,White,73.57,159.99,159.99,0602,Movie DVD,06,"Music, Movies and Audio Books",2016-01-04,1874,4,1
369012,3,2016-01-01,2016-01-04,2016-01-13,1696695,0,1660,2,Male,Virgil Rowland,Akron,OH,Ohio,44311,2001-10-07,Contoso DVD 15-Inch Player Portable L200 White,Contoso,White,96.08,289.98999999999995,579.9799999999999,0602,Movie DVD,06,"Music, Movies and Audio Books",2016-01-04,1874,4,1
369012,4,2016-01-01,2016-01-04,2016-01-13,1696695,0,1610,6,Male,Virgil Rowland,Akron,OH,Ohio,44311,2001-10-07,SV DVD 15-Inch Player Portable L200 Silver,Southridge Video,Silver,96.08,289.98999999999995,1739.9399999999996,0602,Movie DVD,06,"Music, Movies and Audio Books",2016-01-04,1874,4,1
371004,1,2016-01-01,2016-01-06,2016-01-14,1378439,0,1305,8,Female,Maria Reid,Jackson,MS,Mississippi,39213,1992-07-27,Contoso Lens Adapter M450 Silver,Contoso,Silver,31.27,68,544,0406,Cameras & Camcorders Accessories,04,Cameras and camcorders,2016-01-06,1872,7,1
371006,1,2016-01-01,2016-01-06,2016-01-15,1501383,0,1279,1,Male,William Romriell,Dallas,TX,Texas,75240,1995-10-11,Contoso General Soft Carrying Case E318 Black,Contoso,Black,7.64,14.99,14.99,0406,Cameras & Camcorders Accessories,04,Cameras and camcorders,2016-01-06,1872,1,0
371007,1,2016-01-01,2016-01-06,2016-01-18,1378439,0,1639,1,Female,Maria Reid,Jackson,MS,Mississippi,39213,1992-07-27,Contoso DVD 38 DVD Storage Binder E25 Red,Contoso,Red,5.09,9.99,9.99,0602,Movie DVD,06,"Music, Movies and Audio Books",2016-01-06,1872,7,1
